Delivery;Item;Reference document;Delivery Type;Sold-to party;Name of sold-to party;Material;Description;Plant;Delivery quantity;Sales unit;Deliv. date(From/to);Ship-to party;Name of the ship-to party;Sales Organization;Goods Issue Date
858652672;10;4230335164;ZLC;348763;DESAB S.A.;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;11;ZPB;03/09/2021;348763;DESAB S.A.;A131;01/09/2021
858652692;10;4230335167;ZLC;1519556;INSUMOS DEL CENTRO SA;00097078729;BRV8380PWU R19 PWU COR CT RCMQ BG80 AR;C344;70;BAG;02/09/2021;1844308;INSUMOS DEL CENTRO SA;A131;01/09/2021
858652711;10;137216489;LF;827369;TERRAMAR JV S.A.;00097029374;NEXT 22.6PWE C17 PWE COR RCMQ BG80UK AR;C049;98;ZPB;09/09/2021;2019401;TERRAMAR JV S.A.;A131;07/09/2021
858652713;10;137216489;LF;827369;TERRAMAR JV S.A.;00097029374;NEXT 22.6PWE C17 PWE COR RCMQ BG80UK AR;C049;438;ZPB;09/09/2021;1845690;TERRAMAR JV S.A.;A131;07/09/2021
858652713;20;137216489;LF;827369;TERRAMAR JV S.A.;00097029374;NEXT 22.6PWE C17 PWE COR RCMQ BG80UK AR;C049;50;ZPB;09/09/2021;1845690;TERRAMAR JV S.A.;A131;07/09/2021
858652715;10;137243754;LF;430370;TATTERSALL AGROINSUMOS SA;00097073032;FONTELIS BTLHPE4X5L CHL;L026;280,000;L;07/09/2021;1724485;TATTERSALL AGROINSUMOS SA;A133;02/09/2021
858652716;10;137243766;LF;430370;TATTERSALL AGROINSUMOS SA;00000337393;GALANTPLUSR BTLCOX20L CHL;L026;40,000;L;09/09/2021;1843699;TATTERSALL AGROINSUMOS SA;A133;02/09/2021
858652716;20;137243766;LF;430370;TATTERSALL AGROINSUMOS SA;00000114294;LONTREL3A BTLHPE12X1L CHL;L026;36,000;L;09/09/2021;1843699;TATTERSALL AGROINSUMOS SA;A133;02/09/2021
858652716;30;137243766;LF;430370;TATTERSALL AGROINSUMOS SA;00000104341;TORDON24K BTLHPE12X1L CHL;L026;12,000;L;09/09/2021;1843699;TATTERSALL AGROINSUMOS SA;A133;02/09/2021
858652718;10;137243776;LF;430370;TATTERSALL AGROINSUMOS SA;00097050184;LOYANT BTLFPE4X5L CHL;L026;300,000;L;07/09/2021;1724477;TATTERSALL AGROINSUMOS SA;A133;02/09/2021
858652722;10;137216489;LF;827369;TERRAMAR JV S.A.;00097029374;NEXT 22.6PWE C17 PWE COR RCMQ BG80UK AR;C049;61;ZPB;09/09/2021;2105639;TERRAMAR JV S.A.;A131;07/09/2021
858652723;10;137231280;LF;827369;TERRAMAR JV S.A.;00097029374;NEXT 22.6PWE C17 PWE COR RCMQ BG80UK AR;C049;182;ZPB;09/09/2021;2105639;TERRAMAR JV S.A.;A131;07/09/2021
858652800;10;137235294;LF;827369;TERRAMAR JV S.A.;00097029368;NEXT 22.6PWE R17 PWE COR RCMQ BG80UK AR;C049;120;ZPB;07/09/2021;1846031;TERRAMAR JV S.A.;A131;02/09/2021
858652801;10;137241713;LF;421990;CARGILL SACEI;00097070893;RFG22RRE C19 ERR COR CT RCMQ BG80UK AR;C049;20;ZPB;02/09/2021;1865691;CARGILL SACEI;A131;01/09/2021
858652802;10;137244900;LF;750033;CRESUD SAC I F Y A;00097070893;RFG22RRE C19 ERR COR CT RCMQ BG80UK AR;C049;10;BAG;03/09/2021;1865461;CRESUD SAC I F Y A;A131;02/09/2021
858652802;20;137244900;LF;750033;CRESUD SAC I F Y A;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;90;BAG;03/09/2021;1865461;CRESUD SAC I F Y A;A131;02/09/2021
858652804;10;137229706;LF;1482859;BURGOIS FABRICIO;00099071473;NEXT20.6PW R17 PW COR RCMQ BG80UK AR;C344;10;ZPB;04/09/2021;1862706;BURGOIS FABRICIO;A131;31/08/2021
858652805;10;137241467;LF;679010;TECNOCALCHIN SRL;00097078737;BRV8380PWU C21 PWU COR CT RCMQ BG80 AR;C344;54;ZPB;02/09/2021;679010;TECNOCALCHIN SRL;A131;01/09/2021
858652806;10;137226271;LF;2400491;GRUPO ABS S.R.L.;00097071076;510PWU SPR PWU COR CT CMQL BG80UK AR;C344;890;ZPB;12/09/2021;2400491;GRUPO ABS S.R.L.;A131;10/09/2021
858652807;10;137241713;LF;421990;CARGILL SACEI;00097029355;ACRUX PWE C19 PWE COR RCMQ BG80UK AR;C344;211;ZPB;02/09/2021;1865691;CARGILL SACEI;A131;01/09/2021
858652808;10;137243888;LF;2291700;LDC SEMILLAS;00097078681;NXM1122PWU C21 PWU COR CT RCMQ BG80 AR;C344;54;BAG;04/09/2021;2291700;LDC SEMILLAS;A131;03/09/2021
858652832;10;4230335181;ZLC;348767;SUMIDAS JV S.A.;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;1.200,000;L;08/09/2021;1066272;SUMIDAS JV S.A.;A131;07/09/2021
858653246;10;137174458;LF;430370;TATTERSALL AGROINSUMOS SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;136,440;L;10/09/2021;1724485;TATTERSALL AGROINSUMOS SA;A133;07/09/2021
858653249;10;137211804;LF;430370;TATTERSALL AGROINSUMOS SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;667,040;L;10/09/2021;1724478;TATTERSALL AGROINSUMOS SA;A133;07/09/2021
858653259;10;137222871;LF;430370;TATTERSALL AGROINSUMOS SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;75,800;L;10/09/2021;1724477;TATTERSALL AGROINSUMOS SA;A133;07/09/2021
858653278;10;157039819;LF;460942;FEROSOR AGRICOLA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;40,000;L;09/09/2021;1724415;FEROSOR AGRICOLA SA;A133;07/09/2021
858653279;10;157040072;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;420,000;L;14/09/2021;2034501;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653280;10;157040073;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;300,000;L;14/09/2021;1724392;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653281;10;157040074;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;160,000;L;14/09/2021;1724391;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653282;10;157040075;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;120,000;L;14/09/2021;1724393;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653283;10;157040164;LF;460942;FEROSOR AGRICOLA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;40,000;L;14/09/2021;460942;FEROSOR AGRICOLA SA;A133;07/09/2021
858653284;10;157040204;LF;460942;FEROSOR AGRICOLA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;80,000;L;14/09/2021;1724416;FEROSOR AGRICOLA SA;A133;07/09/2021
858653285;10;157040650;LF;423880;COOPERATIVA AGRICOLA LECHERA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;60,000;L;09/09/2021;1724375;COOPERATIVA AGRICOLA LECHERA;A133;07/09/2021
858653286;10;157040664;LF;460942;FEROSOR AGRICOLA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;120,000;L;09/09/2021;1724415;FEROSOR AGRICOLA SA;A133;07/09/2021
858653287;10;157040779;LF;423880;COOPERATIVA AGRICOLA LECHERA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;100,000;L;09/09/2021;1934351;COOPERATIVA AGRICOLA LECHERA;A133;07/09/2021
858653288;10;157040933;LF;423880;COOPERATIVA AGRICOLA LECHERA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;120,000;L;09/09/2021;1934351;COOPERATIVA AGRICOLA LECHERA;A133;07/09/2021
858653292;10;4230335276;ZLC;423851;COAGRA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;60,000;L;14/09/2021;1104720;COAGRA SA;A133;07/09/2021
858653293;10;4230335278;ZLC;423851;COAGRA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;40,000;L;09/09/2021;1724349;COAGRA SA;A133;07/09/2021
858653295;10;4230335280;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;90,960;L;10/09/2021;1959992;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653296;10;4230335281;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;90,960;L;10/09/2021;2361984;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653297;10;4230335282;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;30,320;L;10/09/2021;1932606;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653298;10;4230335283;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;75,800;L;10/09/2021;1724455;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653299;10;4230335284;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;15,160;L;10/09/2021;1935431;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653300;10;4230335286;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;90,960;L;10/09/2021;1724458;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653301;10;4230335287;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;80,000;L;14/09/2021;1724457;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653302;10;4230335288;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;80,000;L;14/09/2021;1724456;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653303;10;4230335289;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;303,200;L;10/09/2021;1724453;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653304;10;4230335291;ZLC;423851;COAGRA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;60,000;L;14/09/2021;1967608;COAGRA SA;A133;07/09/2021
858653305;10;4230335292;ZLC;423851;COAGRA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;40,000;L;09/09/2021;1724351;COAGRA SA;A133;07/09/2021
858653306;10;4230335293;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;75,800;L;10/09/2021;1464822;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653307;10;4230335295;ZLC;423887;COPEVAL SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;100,000;L;09/09/2021;1724410;COPEVAL SA;A133;07/09/2021
858653309;10;4230335296;ZLC;423887;COPEVAL SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;2.334,640;L;10/09/2021;2009949;COPEVAL SA;A133;07/09/2021
858653310;10;4230335298;ZLC;423887;COPEVAL SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;40,000;L;14/09/2021;1724405;COPEVAL SA;A133;07/09/2021
858653311;10;4230335299;ZLC;423887;COPEVAL SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;60,000;L;09/09/2021;2009949;COPEVAL SA;A133;07/09/2021
858653312;10;4230335300;ZLC;423887;COPEVAL SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;300,000;L;14/09/2021;1724412;COPEVAL SA;A133;07/09/2021
858653313;10;4230335301;ZLC;423851;COAGRA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;40,000;L;14/09/2021;1967608;COAGRA SA;A133;07/09/2021
858653316;10;4230335303;ZLC;423851;COAGRA SA;00097052130;MERITGOLD BTLHPE4X5L CHL;L026;20,000;L;09/09/2021;2067750;COAGRA SA;A133;07/09/2021
858653317;10;4230335304;ZLC;423851;COAGRA SA;00097052130;MERITGOLD BTLHPE4X5L CHL;L026;60,000;L;14/09/2021;1104720;COAGRA SA;A133;07/09/2021
858653319;10;4230335306;ZLC;423851;COAGRA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;100,000;L;09/09/2021;1724351;COAGRA SA;A133;07/09/2021
858653324;10;4230335307;ZLC;1464822;MARTINEZ Y VALDIVIESO;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;80,000;L;09/09/2021;10001426;MARTINEZ Y VALDIVIESO;A133;07/09/2021
858653327;10;4230335308;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;300,000;L;14/09/2021;10000968;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653328;10;4230335309;ZLC;423851;COAGRA SA;00097052130;MERITGOLD BTLHPE4X5L CHL;L026;40,000;L;09/09/2021;1724344;COAGRA SA;A133;07/09/2021
858653329;10;4230335311;ZLC;423851;COAGRA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;100,000;L;09/09/2021;1724344;COAGRA SA;A133;07/09/2021
858653360;10;137245137;LF;750033;CRESUD SAC I F Y A;00097071077;510PWU C16 PWU COR CT CMQL BG80UK AR;C344;54;BAG;07/09/2021;1843648;CRESUD SAC I F Y A;A131;01/09/2021
858653360;20;137245137;LF;750033;CRESUD SAC I F Y A;00099017479;RFG1RR C16 RR COR RCMQ BG80UK AR;C344;6;BAG;07/09/2021;1843648;CRESUD SAC I F Y A;A131;01/09/2021
858653365;10;137220945;LF;827369;TERRAMAR JV S.A.;00097029368;NEXT 22.6PWE R17 PWE COR RCMQ BG80UK AR;C049;182;ZPB;04/09/2021;2247911;TERRAMAR JV S.A.;A131;01/09/2021
858653366;10;137220928;LF;827369;TERRAMAR JV S.A.;00097029368;NEXT 22.6PWE R17 PWE COR RCMQ BG80UK AR;C049;20;ZPB;04/09/2021;1845690;TERRAMAR JV S.A.;A131;01/09/2021
858653409;10;137160574;LF;421728;AGRONORT SA;00097029368;NEXT 22.6PWE R17 PWE COR RCMQ BG80UK AR;C049;504;ZPB;06/09/2021;421728;AGRONORT SA;A131;02/09/2021
858653410;10;137126017;LF;348767;SUMIDAS JV S.A.;00099079273;507PWU R16 PWU COR RCMQ BG80UK AR;C344;203;ZPB;06/09/2021;10007404;SUMIDAS;A131;02/09/2021
858653419;10;4230335321;ZLC;802953;MERSAGRO SA;00099069588;QUINTALXTRA BTLHPE4X5L ARG;C077;60,000;L;06/09/2021;802953;MERSAGRO SA;A131;03/09/2021
858653430;10;137208988;LF;1220382;AGROCOMERCIAL SUARDI SRL;00097029364;NEXT 22.6PWU C17 PWU COR RCMQ BG80UK AR;C049;474;ZPB;06/09/2021;1220382;AGROCOMERCIAL SUARDI SRL;A131;02/09/2021
858653430;20;137208988;LF;1220382;AGROCOMERCIAL SUARDI SRL;00097029364;NEXT 22.6PWU C17 PWU COR RCMQ BG80UK AR;C049;526;ZPB;06/09/2021;1220382;AGROCOMERCIAL SUARDI SRL;A131;02/09/2021
858653432;10;137244276;LF;827371;UBAJAY DAS S.A.;00097029364;NEXT 22.6PWU C17 PWU COR RCMQ BG80UK AR;C049;22;ZPB;10/09/2021;827371;UBAJAY DAS S.A.;A131;07/09/2021
858653433;10;137216435;LF;1220382;AGROCOMERCIAL SUARDI SRL;00097079260;BRV8472PWUN SPR PWU COR CT CMQL BG80UKAR;C049;100;ZPB;06/09/2021;1220382;AGROCOMERCIAL SUARDI SRL;A131;02/09/2021
858653443;10;137174180;LF;348764;FEDEA S.A.;00097029373;NEXT 22.6PWE SPR PWE COR RCMQ BG80UK AR;C049;414;ZPB;09/09/2021;1843799;FEDEA S.A.;A131;07/09/2021
858653493;10;137184003;LF;421990;CARGILL SACEI;00097029356;ACRUX PWE C21 PWE COR RCMQ BG80UK AR;C344;600;ZPB;08/09/2021;10030938;CARGILL SACEI;A131;07/09/2021
858653520;10;4230335359;ZLC;422032;COOPERATIVA AGRARIA TRES;00097065296;MERITWGPACK CPKHPE 4X(1.4+0.1)KG ARG;C077;108;UNT;07/09/2021;422032;COOPERATIVA AGRARIA TRES;A131;03/09/2021
858653520;11;;ZLC;422032;COOPERATIVA AGRARIA TRES;00097062225;MERITWG BTLHPE4X1.4KG ARG;C077;604,800;KG;07/09/2021;422032;COOPERATIVA AGRARIA TRES;A131;03/09/2021
858653520;12;;ZLC;422032;COOPERATIVA AGRARIA TRES;00097062196;METSULFURON PCKLAM0.1KG ARG;C077;43,200;KG;07/09/2021;422032;COOPERATIVA AGRARIA TRES;A131;03/09/2021
858653521;10;4230335361;ZLC;1431239;AGRONOMIA EL GALPON SA;00097065296;MERITWGPACK CPKHPE 4X(1.4+0.1)KG ARG;C077;70;UNT;10/09/2021;1431239;AGRONOMIA EL GALPON SA;A131;08/09/2021
858653521;11;;ZLC;1431239;AGRONOMIA EL GALPON SA;00097062225;MERITWG BTLHPE4X1.4KG ARG;C077;392,000;KG;10/09/2021;1431239;AGRONOMIA EL GALPON SA;A131;08/09/2021
858653521;12;;ZLC;1431239;AGRONOMIA EL GALPON SA;00097062196;METSULFURON PCKLAM0.1KG ARG;C077;28,000;KG;10/09/2021;1431239;AGRONOMIA EL GALPON SA;A131;08/09/2021
858653524;10;4230335363;ZLC;422110;AGROASA SA;00097065296;MERITWGPACK CPKHPE 4X(1.4+0.1)KG ARG;C077;40;UNT;07/09/2021;422110;AGROASA SA;A131;03/09/2021
858653524;11;;ZLC;422110;AGROASA SA;00097062225;MERITWG BTLHPE4X1.4KG ARG;C077;224,000;KG;07/09/2021;422110;AGROASA SA;A131;03/09/2021
858653524;12;;ZLC;422110;AGROASA SA;00097062196;METSULFURON PCKLAM0.1KG ARG;C077;16,000;KG;07/09/2021;422110;AGROASA SA;A131;03/09/2021
858653525;10;4230335365;ZLC;702672;COOP AGRICOLA GANADERA DE;00011118107;LONTREL3A BTLHPE4X5L ARG;C077;400,000;L;09/09/2021;1843639;COOP AGRICOLA GANADERA DE;A131;08/09/2021
858653526;10;4230335366;ZLC;827374;DASER AGRO S.A.;00097071073;510PWU R18 PWU COR CT CMQL BG80UK AR;C344;71;ZPB;22/09/2021;827374;DASER AGRO S.A.;A131;21/09/2021
858653532;10;137235272;LF;827369;TERRAMAR JV S.A.;00097029368;NEXT 22.6PWE R17 PWE COR RCMQ BG80UK AR;C049;658;ZPB;04/09/2021;827369;TERRAMAR JV S.A.;A131;01/09/2021
858653544;10;137217350;LF;10017153;DARIO MIGUEL TURLETTI;00097079257;BRV8472PWUN R18 PWU COR CT CMQL BG80UKAR;C049;51;ZPB;13/09/2021;10017522;DARIO MIGUEL TURLETTI;A131;06/09/2021
858653554;10;137217341;LF;10017153;DARIO MIGUEL TURLETTI;00097071075;510PWU SPC PWU COR CT CMQL BG80UK AR;C344;355;ZPB;15/09/2021;10017522;DARIO MIGUEL TURLETTI;A131;08/09/2021
858653555;10;137217347;LF;2400491;GRUPO ABS S.R.L.;00097071073;510PWU R18 PWU COR CT CMQL BG80UK AR;C344;325;ZPB;11/09/2021;2400491;GRUPO ABS S.R.L.;A131;10/09/2021
858653556;10;4230335374;ZLC;827375;RINDES Y CULTIVOS DAS S.A.;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;10.800,000;L;09/09/2021;1845234;RINDES Y CULTIVOS DAS S.A.;A131;08/09/2021
858653557;10;4230335375;ZLC;702672;COOP AGRICOLA GANADERA DE;00000298079;INTREPID240SC BTLHPE4X5L ARG;C077;300,000;L;09/09/2021;1843639;COOP AGRICOLA GANADERA DE;A131;08/09/2021
858653558;10;4230335376;ZLC;1092838;CAMPO Y MAR SA;00097065296;MERITWGPACK CPKHPE 4X(1.4+0.1)KG ARG;C077;5;UNT;07/09/2021;1092838;CAMPO Y MAR SA;A131;03/09/2021
858653558;11;;ZLC;1092838;CAMPO Y MAR SA;00097062225;MERITWG BTLHPE4X1.4KG ARG;C077;28,000;KG;07/09/2021;1092838;CAMPO Y MAR SA;A131;03/09/2021
858653558;12;;ZLC;1092838;CAMPO Y MAR SA;00097062196;METSULFURON PCKLAM0.1KG ARG;C077;2,000;KG;07/09/2021;1092838;CAMPO Y MAR SA;A131;03/09/2021
858653559;10;4230335377;ZLC;423851;COAGRA SA;00011051833;CLOSER BTLHPE12X1L CHL;L026;150,000;L;09/09/2021;1724348;COAGRA SA;A133;07/09/2021
858653566;10;137146280;LF;421689;AGRICULTORES FEDERADOS;00097079260;BRV8472PWUN SPR PWU COR CT CMQL BG80UKAR;C049;5;ZPB;08/09/2021;1762191;AGRICULTORES FEDERADOS;A131;07/09/2021
858653576;10;137211550;LF;2291700;LDC SEMILLAS;00097073676;7123PW R19 PW COR CT RCMQ BG80UK AR NEX;C344;432;ZPB;08/09/2021;10015069;LDC TECNOCAMPO (MONTE CRISTO);A131;06/09/2021
858653577;10;137211540;LF;2291700;LDC SEMILLAS;00097073676;7123PW R19 PW COR CT RCMQ BG80UK AR NEX;C344;269;ZPB;08/09/2021;10025882;LDC HECTOR VIDAL (ROLDAN);A131;07/09/2021
858653596;10;4230335381;ZLC;1191172;AGRUPACION CAMPONUEVO SA;00097065296;MERITWGPACK CPKHPE 4X(1.4+0.1)KG ARG;C077;142;UNT;07/09/2021;2085119;AGRUPACION CAMPONUEVO SA;A131;03/09/2021
858653596;11;;ZLC;1191172;AGRUPACION CAMPONUEVO SA;00097062225;MERITWG BTLHPE4X1.4KG ARG;C077;795,200;KG;07/09/2021;2085119;AGRUPACION CAMPONUEVO SA;A131;03/09/2021
858653596;12;;ZLC;1191172;AGRUPACION CAMPONUEVO SA;00097062196;METSULFURON PCKLAM0.1KG ARG;C077;56,800;KG;07/09/2021;2085119;AGRUPACION CAMPONUEVO SA;A131;03/09/2021
858653597;10;4230335382;ZLC;348764;FEDEA S.A.;00099074918;TOCONEXTRA BTLPET12X1L ARG;C077;48,000;L;09/09/2021;1843795;FEDEA S.A.;A131;08/09/2021
858653599;10;4230335383;ZLC;703320;CAVERZASI ORTIN Y CIA;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;150;ZPB;09/09/2021;1843444;CAVERZASI ORTIN Y CIA;A131;07/09/2021
